feature,mi,lead,selected
lead_6_V1_temp_rmssd,0.0483109977776119,lead6,True
lead_6_V1_morph_p_amp_mean,0.048302837604527846,lead6,True
lead_4_AVL_temp_pnn50,0.048061445070330146,lead4,False
lead_4_AVL_stat_energy,0.048001342499123065,lead4,False
lead_0_I_stat_variance,0.04792054877804093,lead0,False
lead_3_AVR_tf_inst_freq_mean,0.04773591321755748,lead3,False
lead_3_AVR_morph_pr_interval_mean,0.047699095556071526,lead3,False
lead_5_AVF_temp_num_peaks,0.04760688775783821,lead5,False
lead_10_V5_temp_rr_std,0.04752419501245893,lead10,False
lead_5_AVF_stat_variance,0.04741173545191324,lead5,False
lead_9_V4_morph_p_amp_mean,0.047339754417757396,lead9,False
lead_7_V2_nonlin_sd1,0.04712308142526771,lead7,False
lead_2_III_stat_peak_to_peak,0.04710869941763516,lead2,False
lead_0_I_nonlin_sd2,0.047053471008817,lead0,False
lead_5_AVF_stat_signal_power,0.04701714628539424,lead5,False
lead_8_V3_nonlin_sd1,0.047010360153101116,lead8,False
lead_0_I_stat_energy,0.04696831147286238,lead0,False
lead_0_I_stat_rms,0.04695384235897584,lead0,False
lead_2_III_stat_range,0.04676631258635946,lead2,False
lead_5_AVF_temp_hr_mean,0.046729169294464426,lead5,False
lead_3_AVR_stat_iqr,0.04643261914493857,lead3,False
lead_3_AVR_morph_qrs_amp_mean,0.046405566331301884,lead3,False
lead_10_V5_temp_beat_to_beat_var,0.04626908570031818,lead10,False
lead_3_AVR_stat_range,0.04609680593894576,lead3,False
lead_6_V1_nonlin_sd2,0.04589402126908297,lead6,False
lead_11_V6_stat_mad,0.04575098137660292,lead11,False
lead_2_III_nonlin_fractal_dimension,0.04569774413901999,lead2,False
lead_4_AVL_tf_tf_energy,0.045695253484296,lead4,False
lead_5_AVF_stat_energy,0.04551321811479943,lead5,False
lead_11_V6_stat_skewness,0.045421912606374494,lead11,False
lead_3_AVR_stat_peak_to_peak,0.0453236202514153,lead3,False
lead_2_III_temp_rmssd,0.04532260033693545,lead2,False
lead_9_V4_tf_wavelet_energy,0.045173446466118115,lead9,False
lead_3_AVR_stat_mean,0.04499835528766227,lead3,False
lead_9_V4_temp_rmssd,0.0448465942005067,lead9,False
lead_2_III_morph_p_amp_mean,0.04472109411480583,lead2,False
lead_0_I_stat_std,0.04455416795930143,lead0,False
lead_9_V4_temp_beat_to_beat_var,0.04435645297609123,lead9,False
lead_3_AVR_temp_pnn50,0.04432167889232717,lead3,False
lead_4_AVL_morph_p_amp_mean,0.044247630871593537,lead4,False
lead_10_V5_temp_num_peaks,0.04400555777820823,lead10,False
lead_9_V4_stat_max,0.04399396630594876,lead9,False
lead_3_AVR_stat_rms,0.04394590283825841,lead3,False
lead_3_AVR_stat_std,0.043854399570284565,lead3,False
lead_9_V4_morph_area_qrs_mean,0.043847686584574455,lead9,False
lead_10_V5_temp_sdnn,0.043820491308755226,lead10,False
lead_3_AVR_morph_p_qrs_ratio,0.04380538079331795,lead3,False
lead_2_III_temp_rr_mean,0.043600009170297674,lead2,False
lead_1_II_stat_mad,0.04339660181054783,lead1,False
lead_10_V5_stat_median,0.04339320244920675,lead10,False
lead_7_V2_temp_rr_std,0.043368526176636356,lead7,False
lead_9_V4_nonlin_sd2,0.043160564206106186,lead9,False
lead_3_AVR_morph_q_amp_mean,0.04303563155496053,lead3,False
lead_4_AVL_morph_area_qrs_mean,0.04300938530523042,lead4,False
lead_4_AVL_stat_skewness,0.042908232015810885,lead4,False
lead_3_AVR_morph_qrs_duration_mean,0.042829481059606246,lead3,False
lead_1_II_morph_t_slope_mean,0.04272398832884976,lead1,False
lead_4_AVL_temp_beat_to_beat_var,0.04255415289943585,lead4,False
lead_10_V5_tf_inst_freq_mean,0.04242242251188544,lead10,False
lead_10_V5_nonlin_sd2,0.04234889291171371,lead10,False
lead_9_V4_temp_sdnn,0.042315526029209,lead9,False
lead_1_II_stat_kurtosis,0.04191710207183512,lead1,False
lead_4_AVL_tf_wavelet_energy,0.04189998136715638,lead4,False
lead_3_AVR_morph_r_peak_amp_mean,0.0418774995539057,lead3,False
lead_0_I_stat_max,0.04171744470310155,lead0,False
lead_2_III_morph_t_slope_mean,0.04169959499296736,lead2,False
lead_4_AVL_temp_rr_median,0.041377675511326026,lead4,False
lead_3_AVR_stat_mad,0.041134763033992904,lead3,False
lead_10_V5_temp_rmssd,0.04104832907503684,lead10,False
lead_10_V5_morph_p_amp_mean,0.04081776720133028,lead10,False
lead_11_V6_temp_pnn50,0.040672542735723294,lead11,False
lead_0_I_temp_num_peaks,0.040644152395444964,lead0,False
lead_4_AVL_tf_spectrogram_std,0.0406357790997419,lead4,False
lead_3_AVR_temp_num_peaks,0.040573456518846605,lead3,False
lead_2_III_morph_r_peak_amp_mean,0.04056429936707371,lead2,False
lead_0_I_nonlin_fractal_dimension,0.040552472729793676,lead0,False
lead_2_III_temp_hr_mean,0.04051247552136048,lead2,False
lead_6_V1_morph_qt_interval_mean,0.04040248125687942,lead6,False
lead_1_II_morph_area_t_mean,0.040319594799131366,lead1,False
lead_3_AVR_stat_energy,0.04020414553977205,lead3,False
lead_11_V6_morph_area_p_mean,0.04013353753088644,lead11,False
lead_4_AVL_temp_sdnn,0.040051407907802,lead4,False
lead_4_AVL_temp_rr_std,0.04005140790780195,lead4,False
lead_3_AVR_stat_signal_power,0.040032582196371,lead3,False
lead_5_AVF_stat_iqr,0.03995374625004868,lead5,False
lead_11_V6_temp_num_peaks,0.03986750891818969,lead11,False
lead_10_V5_morph_t_amp_mean,0.039736533335306315,lead10,False
lead_2_III_spec_spectral_kurtosis,0.03959020110973906,lead2,False
lead_3_AVR_stat_variance,0.03931191388397446,lead3,False
lead_10_V5_morph_p_qrs_ratio,0.03919964314728279,lead10,False
lead_3_AVR_morph_s_amp_mean,0.03904355414223195,lead3,False
lead_6_V1_spec_spectral_kurtosis,0.03890190461740621,lead6,False
lead_1_II_stat_median,0.03887642136856138,lead1,False
lead_6_V1_morph_st_segment_mean,0.038871228148198746,lead6,False
lead_9_V4_spec_spectral_energy,0.03883031971957829,lead9,False
lead_1_II_temp_pnn50,0.03880781625444907,lead1,False
lead_4_AVL_spec_spectral_flux,0.038765209267771626,lead4,False
lead_6_V1_stat_peak_to_peak,0.03869989257598912,lead6,False
lead_8_V3_morph_t_amp_mean,0.03859422704506214,lead8,False
lead_2_III_morph_p_qrs_ratio,0.03853422805915039,lead2,False
lead_10_V5_spec_spectral_entropy,0.038491173470724636,lead10,False
lead_8_V3_spec_spectral_flux,0.03848031503092839,lead8,False
lead_0_I_spec_spectral_energy,0.03846573490681422,lead0,False
lead_7_V2_morph_s_amp_mean,0.038312801300197166,lead7,False
lead_10_V5_nonlin_sd1,0.03828138305809072,lead10,False
lead_4_AVL_nonlin_sd1,0.03825288676445906,lead4,False
lead_1_II_temp_rmssd,0.03803051188274109,lead1,False
lead_0_I_morph_p_amp_mean,0.03788484575535733,lead0,False
lead_4_AVL_stat_iqr,0.037770984981541036,lead4,False
lead_5_AVF_spec_spectral_skewness,0.037767537301872656,lead5,False
lead_5_AVF_spec_spectral_kurtosis,0.037724290171497275,lead5,False
lead_0_I_spec_spectral_flux,0.03769916875065329,lead0,False
lead_2_III_temp_pnn50,0.037593636601811475,lead2,False
lead_7_V2_temp_num_peaks,0.03744783724096958,lead7,False
lead_7_V2_morph_t_slope_mean,0.037441621539129645,lead7,False
lead_11_V6_tf_spectrogram_mean,0.03742156098641236,lead11,False
lead_2_III_tf_wavelet_energy,0.03726584959178107,lead2,False
lead_7_V2_tf_wavelet_entropy,0.037122303365372165,lead7,False
lead_7_V2_stat_min,0.03704327201790316,lead7,False
lead_8_V3_morph_s_amp_mean,0.03690207628089422,lead8,False
lead_0_I_temp_pnn50,0.03683425972741956,lead0,False
lead_7_V2_tf_spectrogram_entropy,0.036749382649374954,lead7,False
lead_0_I_tf_tf_centroid_freq,0.036727358956747835,lead0,False
